case_id,a,b,c,d,alpha,table_size,n1,n2,max_ratio,blaker_lower,blaker_upper,blaker_time,blaker_status,conditional_lower,conditional_upper,conditional_time,conditional_status,midp_lower,midp_upper,midp_time,midp_status,unconditional_lower,unconditional_upper,unconditional_time,unconditional_status,wald_lower,wald_upper,wald_time,wald_status
case_17,28,26,37,23,0.05,114,54,60,0.6166666666666667,,1.4625000000000001,0.0009877681732177734,success,,,0.08425116539001465,error,,,0.00017714500427246094,error,0.0,inf,1.0458240509033203,success,0.3219279496809347,1.4109527735931353,1.5974044799804688e-05,success
case_18,44,47,33,37,0.05,161,91,70,0.5285714285714286,,1.9125,0.0012640953063964844,success,,,0.12807202339172363,error,,,0.00019693374633789062,error,0.0,inf,1.1052091121673584,success,0.5641098008307358,1.949584569626768,1.621246337890625e-05,success
case_19,45,28,45,40,0.05,158,73,85,0.6164383561643836,,2.9250000000000003,0.0011327266693115234,success,,,0.10620641708374023,error,,,0.00016880035400390625,error,0.0,inf,0.66007399559021,success,0.7557800569546562,2.6719289072728296,1.8835067749023438e-05,success
case_20,21,39,47,34,0.05,141,60,81,0.65,,,0.0063669681549072266,success,,,0.1388401985168457,error,,,0.00016617774963378906,error,0.0,inf,0.6044771671295166,success,0.19941262505392202,0.7837563074298429,1.71661376953125e-05,success
case_21,47,26,31,48,0.05,152,73,79,0.6438356164383562,,1.308328628540039,0.003094911575317383,success,,,0.10569381713867188,error,,,0.000164031982421875,error,0.0,inf,0.6866271495819092,success,1.435585655434563,5.305529465675564,1.9073486328125e-05,success
case_22,2,39,27,2,0.05,70,41,29,0.9512195121951219,,,0.0028679370880126953,success,,,0.052670955657958984,error,,,0.0001881122589111328,error,0.0,inf,20.907256841659546,success,0.0009324680999724686,0.0355031160787644,1.5974044799804688e-05,success
case_23,1,28,42,2,0.05,73,29,44,0.9655172413793104,,,0.0027899742126464844,success,,,0.05496501922607422,error,,,0.0001919269561767578,error,0.0,inf,22.447713136672974,success,0.00038694523577071266,0.0247711090673928,1.5974044799804688e-05,success
case_24,2,26,30,2,0.05,60,28,32,0.9375,,,0.0026330947875976562,success,,,0.04908585548400879,error,,,0.0001881122589111328,error,0.0,inf,20.30152916908264,success,0.0012415758606974796,0.04816098358578417,1.6927719116210938e-05,success
case_25,2,28,46,1,0.05,77,30,47,0.9787234042553191,,,0.0027871131896972656,success,,,0.05456686019897461,error,,,0.0001468658447265625,error,0.0,inf,20.52496099472046,success,0.0003543219746659216,0.022597938480966976,1.621246337890625e-05,success
case_26,1,42,36,2,0.05,81,43,38,0.9767441860465116,,,0.003506898880004883,success,,,0.08070802688598633,error,,,0.0001800060272216797,error,0.0,inf,20.486850261688232,success,0.0003042936959369328,0.01920463207399532,1.4781951904296875e-05,success
