Method,Lower,Upper,Width,Time,Table
ExactCIs Original,0.01122,0.98,0.96878,0.0017709732055664062,"(1,1000,10,1000)"
ExactCIs Improved,0.01122,0.98,0.96878,1.9073486328125e-05,"(1,1000,10,1000)"
SciPy Approximation,0.012777358190640747,0.7826343952167575,0.7698570370261167,0.0010488033294677734,"(1,1000,10,1000)"
Normal Approximation,0.012777358190640747,0.7826343952167575,0.7698570370261167,4.00543212890625e-05,"(1,1000,10,1000)"
ExactCIs Original,0.54978,219.91200000000003,219.36222000000004,0.0027620792388916016,"(10,1000,1,1000)"
ExactCIs Improved,0.54978,219.91200000000003,219.36222000000004,1.9073486328125e-05,"(10,1000,1,1000)"
SciPy Approximation,1.2777358190640749,78.2634395216757,76.98570370261163,0.0004341602325439453,"(10,1000,1,1000)"
Normal Approximation,1.2777358190640749,78.2634395216757,76.98570370261163,3.600120544433594e-05,"(10,1000,1,1000)"
